area_list,tags_list,name,description,url,category,address,access,business_hours,regular_holidays,price,phone_no,if_reservation_needed
長崎県,恋人と・夫婦で,えきマチ1丁目佐世保,佐世保の玄関口としてにぎわう買い物スポット,https://www.walkerplus.com/spot/ar1042s16128/    ,買う,    長崎県佐世保市三浦町21-1[地図],    【電】JR佐世保駅から徒歩1分 【車】西九州自動車道佐世保みなとICから約5分,    10:00～21:00(各店舗ごとに異なる)    ※一部変更中。詳細は公式サイト等をご確認ください,    なし    店舗により異なる,クレジットカードは一部利用不可, 0956-24-6523,
佐世保駅(長崎県),恋人と・夫婦で,えきマチ1丁目佐世保,佐世保の玄関口としてにぎわう買い物スポット,https://www.walkerplus.com/spot/ar1042s16128/    ,買う,    長崎県佐世保市三浦町21-1[地図],    【電】JR佐世保駅から徒歩1分 【車】西九州自動車道佐世保みなとICから約5分,    10:00～21:00(各店舗ごとに異なる)    ※一部変更中。詳細は公式サイト等をご確認ください,    なし    店舗により異なる,クレジットカードは一部利用不可, 0956-24-6523,
佐世保中央駅(長崎県),恋人と・夫婦で,えきマチ1丁目佐世保,佐世保の玄関口としてにぎわう買い物スポット,https://www.walkerplus.com/spot/ar1042s16128/    ,買う,    長崎県佐世保市三浦町21-1[地図],    【電】JR佐世保駅から徒歩1分 【車】西九州自動車道佐世保みなとICから約5分,    10:00～21:00(各店舗ごとに異なる)    ※一部変更中。詳細は公式サイト等をご確認ください,    なし    店舗により異なる,クレジットカードは一部利用不可, 0956-24-6523,
中佐世保駅(長崎県),恋人と・夫婦で,えきマチ1丁目佐世保,佐世保の玄関口としてにぎわう買い物スポット,https://www.walkerplus.com/spot/ar1042s16128/    ,買う,    長崎県佐世保市三浦町21-1[地図],    【電】JR佐世保駅から徒歩1分 【車】西九州自動車道佐世保みなとICから約5分,    10:00～21:00(各店舗ごとに異なる)    ※一部変更中。詳細は公式サイト等をご確認ください,    なし    店舗により異なる,クレジットカードは一部利用不可, 0956-24-6523,
東海,恋人と・夫婦で,Hisaya-odori Park(ヒサヤオオドオリパーク),公園と店舗が一体となった日本最大級の事業,https://www.walkerplus.com/spot/ar0623s384486/    ,買う,    愛知県名古屋市中区丸の内3丁目、錦3丁目 他[地図],    【電車】名古屋市営地下鉄東山線・名城線栄駅隣接、名古屋市営地下鉄名城線・桜通線久屋大通駅隣接,,,入場無料。, 052-265-5575 受付時間10:00～17:30,
愛知県,恋人と・夫婦で,Hisaya-odori Park(ヒサヤオオドオリパーク),公園と店舗が一体となった日本最大級の事業,https://www.walkerplus.com/spot/ar0623s384486/    ,買う,    愛知県名古屋市中区丸の内3丁目、錦3丁目 他[地図],    【電車】名古屋市営地下鉄東山線・名城線栄駅隣接、名古屋市営地下鉄名城線・桜通線久屋大通駅隣接,,,入場無料。, 052-265-5575 受付時間10:00～17:30,
久屋大通駅(愛知県),恋人と・夫婦で,Hisaya-odori Park(ヒサヤオオドオリパーク),公園と店舗が一体となった日本最大級の事業,https://www.walkerplus.com/spot/ar0623s384486/    ,買う,    愛知県名古屋市中区丸の内3丁目、錦3丁目 他[地図],    【電車】名古屋市営地下鉄東山線・名城線栄駅隣接、名古屋市営地下鉄名城線・桜通線久屋大通駅隣接,,,入場無料。, 052-265-5575 受付時間10:00～17:30,
市役所駅(愛知県),恋人と・夫婦で,Hisaya-odori Park(ヒサヤオオドオリパーク),公園と店舗が一体となった日本最大級の事業,https://www.walkerplus.com/spot/ar0623s384486/    ,買う,    愛知県名古屋市中区丸の内3丁目、錦3丁目 他[地図],    【電車】名古屋市営地下鉄東山線・名城線栄駅隣接、名古屋市営地下鉄名城線・桜通線久屋大通駅隣接,,,入場無料。, 052-265-5575 受付時間10:00～17:30,
栄町駅(愛知県),恋人と・夫婦で,Hisaya-odori Park(ヒサヤオオドオリパーク),公園と店舗が一体となった日本最大級の事業,https://www.walkerplus.com/spot/ar0623s384486/    ,買う,    愛知県名古屋市中区丸の内3丁目、錦3丁目 他[地図],    【電車】名古屋市営地下鉄東山線・名城線栄駅隣接、名古屋市営地下鉄名城線・桜通線久屋大通駅隣接,,,入場無料。, 052-265-5575 受付時間10:00～17:30,
栄駅(愛知県),恋人と・夫婦で,Hisaya-odori Park(ヒサヤオオドオリパーク),公園と店舗が一体となった日本最大級の事業,https://www.walkerplus.com/spot/ar0623s384486/    ,買う,    愛知県名古屋市中区丸の内3丁目、錦3丁目 他[地図],    【電車】名古屋市営地下鉄東山線・名城線栄駅隣接、名古屋市営地下鉄名城線・桜通線久屋大通駅隣接,,,入場無料。, 052-265-5575 受付時間10:00～17:30,
東海,恋人と・夫婦で,クックラひるがの【営業時間短縮】,サービスエリアに隣接した複合商業施設,https://www.walkerplus.com/spot/ar0621s16070/    ,買う,    岐阜県郡上市高鷲町鷲見5294-1[地図],    【電車】長良川鉄道北濃駅からタクシーにて約27分 【車】東海北陸自動車道ひるがの高原スマートICから約1分,    10:00～19:00    【短縮中】 11:00～不定,    なし    店舗により異なる,対応可。, 0575-73-0101 クックラひるがの,
岐阜県,恋人と・夫婦で,クックラひるがの【営業時間短縮】,サービスエリアに隣接した複合商業施設,https://www.walkerplus.com/spot/ar0621s16070/    ,買う,    岐阜県郡上市高鷲町鷲見5294-1[地図],    【電車】長良川鉄道北濃駅からタクシーにて約27分 【車】東海北陸自動車道ひるがの高原スマートICから約1分,    10:00～19:00    【短縮中】 11:00～不定,    なし    店舗により異なる,対応可。, 0575-73-0101 クックラひるがの,
東海,恋人と・夫婦で,SKYLE,名古屋最大のストリート広小路通にありアクセスも便利,https://www.walkerplus.com/spot/ar0623s23122/    ,買う,    愛知県名古屋市中区栄3-4-5[地図],    【電車】市営地下鉄東山線・名城線栄駅、名鉄瀬戸線栄町駅から地下街で連絡徒歩3分、サカエチカ7番出口すぐ 【車】名古屋駅伏見方面および今池・池下方面から広小路通り栄交差点西南角、名古屋城・県庁方面および金山・上前津方面からは大津通り栄交差点西南角,    10:00～20:00、8階BOOKOFF10:00～21:00    ※一部変更中。詳細は公式サイト等をご確認ください,    年間3日間（1/1、2月・8月の第3水曜日）,対応可。, 052-251-0271,
愛知県,恋人と・夫婦で,SKYLE,名古屋最大のストリート広小路通にありアクセスも便利,https://www.walkerplus.com/spot/ar0623s23122/    ,買う,    愛知県名古屋市中区栄3-4-5[地図],    【電車】市営地下鉄東山線・名城線栄駅、名鉄瀬戸線栄町駅から地下街で連絡徒歩3分、サカエチカ7番出口すぐ 【車】名古屋駅伏見方面および今池・池下方面から広小路通り栄交差点西南角、名古屋城・県庁方面および金山・上前津方面からは大津通り栄交差点西南角,    10:00～20:00、8階BOOKOFF10:00～21:00    ※一部変更中。詳細は公式サイト等をご確認ください,    年間3日間（1/1、2月・8月の第3水曜日）,対応可。, 052-251-0271,
栄駅(愛知県),恋人と・夫婦で,SKYLE,名古屋最大のストリート広小路通にありアクセスも便利,https://www.walkerplus.com/spot/ar0623s23122/    ,買う,    愛知県名古屋市中区栄3-4-5[地図],    【電車】市営地下鉄東山線・名城線栄駅、名鉄瀬戸線栄町駅から地下街で連絡徒歩3分、サカエチカ7番出口すぐ 【車】名古屋駅伏見方面および今池・池下方面から広小路通り栄交差点西南角、名古屋城・県庁方面および金山・上前津方面からは大津通り栄交差点西南角,    10:00～20:00、8階BOOKOFF10:00～21:00    ※一部変更中。詳細は公式サイト等をご確認ください,    年間3日間（1/1、2月・8月の第3水曜日）,対応可。, 052-251-0271,
栄町駅(愛知県),恋人と・夫婦で,SKYLE,名古屋最大のストリート広小路通にありアクセスも便利,https://www.walkerplus.com/spot/ar0623s23122/    ,買う,    愛知県名古屋市中区栄3-4-5[地図],    【電車】市営地下鉄東山線・名城線栄駅、名鉄瀬戸線栄町駅から地下街で連絡徒歩3分、サカエチカ7番出口すぐ 【車】名古屋駅伏見方面および今池・池下方面から広小路通り栄交差点西南角、名古屋城・県庁方面および金山・上前津方面からは大津通り栄交差点西南角,    10:00～20:00、8階BOOKOFF10:00～21:00    ※一部変更中。詳細は公式サイト等をご確認ください,    年間3日間（1/1、2月・8月の第3水曜日）,対応可。, 052-251-0271,
矢場町駅(愛知県),恋人と・夫婦で,SKYLE,名古屋最大のストリート広小路通にありアクセスも便利,https://www.walkerplus.com/spot/ar0623s23122/    ,買う,    愛知県名古屋市中区栄3-4-5[地図],    【電車】市営地下鉄東山線・名城線栄駅、名鉄瀬戸線栄町駅から地下街で連絡徒歩3分、サカエチカ7番出口すぐ 【車】名古屋駅伏見方面および今池・池下方面から広小路通り栄交差点西南角、名古屋城・県庁方面および金山・上前津方面からは大津通り栄交差点西南角,    10:00～20:00、8階BOOKOFF10:00～21:00    ※一部変更中。詳細は公式サイト等をご確認ください,    年間3日間（1/1、2月・8月の第3水曜日）,対応可。, 052-251-0271,
久屋大通駅(愛知県),恋人と・夫婦で,SKYLE,名古屋最大のストリート広小路通にありアクセスも便利,https://www.walkerplus.com/spot/ar0623s23122/    ,買う,    愛知県名古屋市中区栄3-4-5[地図],    【電車】市営地下鉄東山線・名城線栄駅、名鉄瀬戸線栄町駅から地下街で連絡徒歩3分、サカエチカ7番出口すぐ 【車】名古屋駅伏見方面および今池・池下方面から広小路通り栄交差点西南角、名古屋城・県庁方面および金山・上前津方面からは大津通り栄交差点西南角,    10:00～20:00、8階BOOKOFF10:00～21:00    ※一部変更中。詳細は公式サイト等をご確認ください,    年間3日間（1/1、2月・8月の第3水曜日）,対応可。, 052-251-0271,
関西,恋人と・夫婦で,ドン・キホーテ あべの天王寺駅前店,日用品もユニークな商品も「驚安(きょうやす)」価格で取り揃え,https://www.walkerplus.com/spot/ar0727s398181/    ,買う,    大阪府大阪市阿倍野区旭町1-1-3[地図],    【電車】JR・Osaka Metro天王寺駅5番出口から徒歩3分。阪堺電車天王寺駅前停留場から徒歩4分。近畿日本鉄道大阪阿部野橋駅から徒歩5分 【車】阪神高速14号松原線天王寺出口から約5分,    最新の情報は公式サイトで確認,,入場無料。, 0570-075-121,
大阪府,恋人と・夫婦で,ドン・キホーテ あべの天王寺駅前店,日用品もユニークな商品も「驚安(きょうやす)」価格で取り揃え,https://www.walkerplus.com/spot/ar0727s398181/    ,買う,    大阪府大阪市阿倍野区旭町1-1-3[地図],    【電車】JR・Osaka Metro天王寺駅5番出口から徒歩3分。阪堺電車天王寺駅前停留場から徒歩4分。近畿日本鉄道大阪阿部野橋駅から徒歩5分 【車】阪神高速14号松原線天王寺出口から約5分,    最新の情報は公式サイトで確認,,入場無料。, 0570-075-121,
天王寺駅前停留所(大阪府),恋人と・夫婦で,ドン・キホーテ あべの天王寺駅前店,日用品もユニークな商品も「驚安(きょうやす)」価格で取り揃え,https://www.walkerplus.com/spot/ar0727s398181/    ,買う,    大阪府大阪市阿倍野区旭町1-1-3[地図],    【電車】JR・Osaka Metro天王寺駅5番出口から徒歩3分。阪堺電車天王寺駅前停留場から徒歩4分。近畿日本鉄道大阪阿部野橋駅から徒歩5分 【車】阪神高速14号松原線天王寺出口から約5分,    最新の情報は公式サイトで確認,,入場無料。, 0570-075-121,
天王寺駅(大阪府),恋人と・夫婦で,ドン・キホーテ あべの天王寺駅前店,日用品もユニークな商品も「驚安(きょうやす)」価格で取り揃え,https://www.walkerplus.com/spot/ar0727s398181/    ,買う,    大阪府大阪市阿倍野区旭町1-1-3[地図],    【電車】JR・Osaka Metro天王寺駅5番出口から徒歩3分。阪堺電車天王寺駅前停留場から徒歩4分。近畿日本鉄道大阪阿部野橋駅から徒歩5分 【車】阪神高速14号松原線天王寺出口から約5分,    最新の情報は公式サイトで確認,,入場無料。, 0570-075-121,
