name,url,address,access,category,description,average_price,pet_dog_small,pet_dog_medium,pet_dog_large,pet_cat,pet_others,pet_otherInfo
MARTIN GRILL,https://r.gnavi.co.jp/dr2me9bh0000/,岐阜県岐阜市玉宮町2-1,名鉄各務原線名鉄岐阜駅 徒歩5分,和食,グリル専門料理店 バル,"平均予算：3,000円",,,,,,
インドレストラン スパイスハウス,https://r.gnavi.co.jp/g5htpw1b0000/,愛知県名古屋市千種区井上町43-2,地下鉄東山線星ヶ丘駅 徒歩1分,和食,インド料理,"平均予算：1,000円",テラス,テラス,テラス,テラス,テラス,テラス席をご用意しているのでペット同伴もOKです！ぜひご一緒に素敵な時間をお楽しみください♪
隠れ家ダイニング Cu－SuKe,https://r.gnavi.co.jp/4duageuk0000/,山梨県甲府市後屋町378,ＪＲ身延線甲斐住吉駅 車5分,和食,洋風和風居酒屋,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,夏場には気分も最高な、ワンちゃんもＯＫなビアテラス♪
八重洲 升寿司,https://r.gnavi.co.jp/9dgk9h450000/,東京都中央区八重洲1-7-3,ＪＲ東京駅 徒歩2分,和食,寿司屋,"平均予算：6,000円",店内,店内,店内,店内,店内,
ＶＡＣＡＮＺＡ,https://r.gnavi.co.jp/g765600/,東京都渋谷区恵比寿4-27-2,ＪＲ恵比寿駅東口 徒歩5分,和食,ピッツァ×魚介×ワイン,"平均予算：5,500円",テラス,テラス,テラス,テラス,テラス,
うぶ,https://r.gnavi.co.jp/ga7w400/,東京都世田谷区北沢2-33-8,小田急小田原線下北沢駅北口 徒歩1分,和食,下北 居酒屋 女子会,"平均予算：3,000円",,,,,,
牡蠣と魚 海宝 高田馬場店,https://r.gnavi.co.jp/gavv801/,東京都豊島区高田3-11-19,ＪＲ高田馬場駅東口 徒歩3分,和食,産地直送牡蠣酒場,"平均予算：5,000円",テラス,テラス,,,,
福龍酒家,https://r.gnavi.co.jp/p398500/,神奈川県横浜市中区山下町106-15,みなとみらい線元町・中華街駅 徒歩3分,和食,福建・香港料理・個室有,"平均予算：2,500円",店内,,,,,
フォーンヴィェット ～Tiem an HUONG VIET～,https://r.gnavi.co.jp/k612800/,京都府京都市中京区押小路東洞院西入ル118,京都市営地下鉄線烏丸御池駅北1出口 徒歩2分,和食,現地仕込のベトナム料理,"平均予算：4,500円",テラス,テラス,テラス,テラス,テラス,
BEARD（ビアード） ‐AMERICAN ROOFTOP‐テラス 天神,https://r.gnavi.co.jp/80k9t3sj0000/,福岡県福岡市中央区赤坂1-9-22,地下鉄空港線（1号線）赤坂駅 徒歩3分,和食,福岡最大級ビアガーデン,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
お好み焼ころんぶす 石川町北口駅前店,https://r.gnavi.co.jp/p699302/,神奈川県横浜市中区松影町1-3-7,ＪＲ根岸線石川町駅北口 徒歩1分,和食,お好み焼レストラン,"平均予算：2,000円",テラス,テラス,テラス,,,
Bar Glamb,https://r.gnavi.co.jp/5139zn500000/,東京都新宿区歌舞伎町2-26-3,ＪＲ新宿駅 徒歩8分,和食,貸切・パーティ・宴会,"平均予算：2,500円",店内,店内,店内,店内,店内,
ターンテーブル ～TurnTable～ 渋谷・道玄坂店,https://r.gnavi.co.jp/hd4us5ak0000/,東京都渋谷区神泉町10-3,京王井の頭線神泉駅 徒歩4分,和食,薪火グリルレストラン,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
グローバルキュイジーヌ GAZEBO TOKYO,https://r.gnavi.co.jp/cs3a47360000/,東京都新宿区百人町2-4-9,ＪＲ新大久保駅 徒歩1分,和食,リゾート空間の創作料理,"平均予算：3,000円",テラス,テラス,テラス,テラス,,
トネリコ,https://r.gnavi.co.jp/cpk14tck0000/,東京都世田谷区代沢2-7-9,京王井の頭線池ノ上駅 徒歩3分,和食,ビストロ,"平均予算：5,000円",店内テラス,店内テラス,店内テラス,,,
個室居酒屋 THE CAVE ザ・ケイブ 新宿東口店,https://r.gnavi.co.jp/mtymp3un0000/,東京都新宿区歌舞伎町1-14-7,西武新宿線西武新宿駅 徒歩4分,和食,完全個室×東宝ビルすぐ,"平均予算：2,980円",店内,,,店内,店内,
味楽房,https://r.gnavi.co.jp/k521200/,大阪府大阪市北区西天満5-16-12,地下鉄谷町線南森町駅1番出口 徒歩6分,和食,乱破料理・創作和食,"平均予算：4,500円",,,,,,
プレミアム貸切×絶品肉料理 ロンドンバス キッチン,https://r.gnavi.co.jp/cvf6e8kr0000/,東京都大田区大森北1-16-9,ＪＲ京浜東北線大森駅 徒歩5分,和食,ロンドンバスレストラン,"平均予算：2,500円",テラス,テラス,テラス,,,
グラス 勝どき店,https://r.gnavi.co.jp/gcm9800/,東京都中央区勝どき3-11-9,都営大江戸線勝どき駅 徒歩2分,和食,インド・ネパール料理,"平均予算：2,000円",テラス,テラス,,,,
大船一丁目やきとん,https://r.gnavi.co.jp/a548714/,神奈川県鎌倉市大船1-26-33,ＪＲ大船駅 徒歩1分,和食,沖縄料理とやきとん酒場,"平均予算：2,100円",テラス,テラス,テラス,テラス,テラス,
食肴旬菜 富一,https://r.gnavi.co.jp/dpfepdz90000/,富山県富山市新富町1-4-1,富山地方鉄道市電新富町駅 徒歩2分,和食,地産地消の日本料理店,"平均予算：5,000円",,,,,,
アジアンダイニング グラス 佃店,https://r.gnavi.co.jp/1dj7gdxm0000/,東京都中央区佃2-21-6,地下鉄有楽町線月島駅 徒歩2分,和食,インド・ネパール料理,"平均予算：2,000円",テラス,テラス,,,,
一源 ～ICHIGEN～ 相模大野,https://r.gnavi.co.jp/cdntgy4b0000/,神奈川県相模原市南区相模大野6-13-8,小田急江ノ島線相模大野駅 徒歩5分,和食,相模大野創作和洋居酒屋,"平均予算：3,500円",,,,,,
和酒×ビストロ ふるはうす,https://r.gnavi.co.jp/ckxbfykt0000/,東京都豊島区池袋4-26-11,地下鉄丸ノ内線池袋駅 徒歩11分,和食,池袋西口 和酒ビストロ,"平均予算：2,500円",テラス,テラス,テラス,テラス,テラス,
Saloon Bar だんらん,https://r.gnavi.co.jp/28sts4su0000/,兵庫県神戸市中央区加納町3-14-19,神戸市営地下鉄西神・山手線三宮駅 徒歩8分,和食,大人の隠れ家Bar,"平均予算：3,000円",テラス,テラス,テラス,テラス,,
ビストロ TAKURO,https://r.gnavi.co.jp/nr8s5b070000/,神奈川県逗子市逗子5-1-22,京急逗子線逗子・葉山駅 徒歩1分,和食,逗子の本格ビストロ,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
Pizzeria Nao,https://r.gnavi.co.jp/9m5kwv960000/,福岡県福岡市博多区下川端町3-1,地下鉄空港線（1号線）中洲川端駅 徒歩1分,和食,本格ピッツェリア,"平均予算：4,000円",テラス,テラス,テラス,テラス,テラス,
PIZZERIA ＆ BAR NOHGA （ピッツェリアアンドバー ノーガ）,https://r.gnavi.co.jp/e306jtzc0000/,東京都千代田区外神田3-10-11,地下鉄銀座線末広町駅 徒歩3分,和食,新感覚ピッツェリア,"平均予算：5,000円",テラス,テラス,テラス,テラス,テラス,
サンセットウォーカーヒル,https://r.gnavi.co.jp/e0zc9pkc0000/,愛知県常滑市金山上白田130,名鉄常滑線蒲池駅 徒歩19分,和食,農家レストラン,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
ユッケ生サムギョプサルコプチャン ハヌリ 中目黒店,https://r.gnavi.co.jp/1e8910y20000/,東京都目黒区上目黒2-13-4,東急東横線中目黒駅 徒歩2分,和食,本格韓国料理,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
トラットリア ルッソ,https://r.gnavi.co.jp/hv46kf4t0000/,茨城県つくば市研究学園5-14-10,つくばエクスプレス研究学園駅 徒歩4分,和食,トラットリア,"平均予算：4,000円",テラス,テラス,テラス,テラス,テラス,
ZEUS GARDEN,https://r.gnavi.co.jp/j78rngne0000/,東京都港区六本木3-8-15,都営大江戸線六本木駅 徒歩2分,和食,六本木エンタメ空間★,"平均予算：4,500円",,,,,,
貸切パーティースペース RAS 池袋,https://r.gnavi.co.jp/a8cbm3040000/,東京都豊島区池袋2-10-3,地下鉄副都心線池袋駅 徒歩3分,和食,貸切パーティを楽しめる,"平均予算：4,000円",,,,,,
贅沢食べ飲み放題＆完全個室 鳥楽 本厚木店,https://r.gnavi.co.jp/g3bjrwz80000/,神奈川県厚木市中町2-7-21,小田急小田原線本厚木駅 徒歩4分,和食,食べ飲み放題個室居酒屋,"平均予算：3,000円",店内,店内,店内,店内,店内,
クロコダイル,https://r.gnavi.co.jp/f139200/,沖縄県中頭郡北谷町美浜2-4-2,沖縄自動車道沖縄南I.C. 車10分,和食,南国ダイニング,"平均予算：2,500円",テラス,テラス,テラス,テラス,テラス,
菊・よし,https://r.gnavi.co.jp/r024200/,石川県金沢市長町2-1-1,ＪＲ金沢駅 バス10分,和食,割烹,"平均予算：8,000円",店内,,,店内,,（要・予約）旅行などでペットとご一緒に来店されるお客様が増えてきています。個室でのお食事で準備致しますので、お気軽にお問い合わせください。吠えてたり、トイレのしつけ等のマナーはお守りください。季節のお附き出しを1品出させて頂いてます。
スパイスキング,https://r.gnavi.co.jp/n3k7fwcd0000/,大阪府大阪市城東区今福東2-15-31,地下鉄長堀鶴見緑地線今福鶴見駅 徒歩2分,和食,本格インドカレー,"平均予算：1,500円",,,,,,
酒肴 本丸 駅前栄町店,https://r.gnavi.co.jp/314t52z00000/,静岡県焼津市栄町1-3-4,ＪＲ東海道本線焼津駅 徒歩2分,和食,酒と肴にこだわる居酒屋,"平均予算：4,500円",店内,,,,,
たこ焼・居酒屋 祭,https://r.gnavi.co.jp/s8z4h89z0000/,山梨県甲府市朝日4-7-11,ＪＲ甲府駅 徒歩14分,和食,たこ焼居酒屋家庭料理,"平均予算：2,000円",店内,,,,,
魚居酒屋 すなおや 東三国店,https://r.gnavi.co.jp/k821703/,大阪府大阪市淀川区東三国1-25-9,地下鉄御堂筋線東三国駅1番出口 徒歩3分,和食,直送魚専門！魚居酒屋！,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
エビン 溝の口店,https://r.gnavi.co.jp/nszd88br0000/,神奈川県川崎市高津区下作延2-7-3,東急大井町線溝の口駅 徒歩5分,和食,インド・ネパール料理,"平均予算：2,000円",,,,,,
Faifo Vietnam Cuisine,https://r.gnavi.co.jp/ga7f600/,東京都品川区南大井6-19-10,ＪＲ京浜東北線大森駅北口 徒歩5分,和食,ビアガーデン,"平均予算：4,000円",テラス,テラス,テラス,テラス,,
サントロペ,https://r.gnavi.co.jp/kxbhnrhr0000/,大阪府大阪市北区鶴野町4,地下鉄御堂筋線中津駅 徒歩8分,和食,サプライズができるお店,"平均予算：2,500円",テラス,テラス,,,,
レストラン 西本,https://r.gnavi.co.jp/k038902/?sc_dsp=rs_13449&sc_type=area&sc_area=jp,大阪府枚方市招提元町1-38-15,京阪電鉄本線樟葉駅 車10分,和食,心温まる郊外レストラン,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
GOOD MORNING CAFE 錦町,https://r.gnavi.co.jp/depraw5m0000/,東京都千代田区神田錦町3-20,都営三田線神保町駅A9番出口 徒歩2分,和食,ガーデンレストラン,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
個室×燻製 伊蔵 虎ノ門,https://r.gnavi.co.jp/g51egehb0000/,東京都港区虎ノ門1-11-2,地下鉄銀座線虎ノ門駅1番出口 徒歩3分,和食,個室居酒屋 コロナ対策,"平均予算：3,000円",,,,,,
タイガー食堂,https://r.gnavi.co.jp/b096100/,神奈川県横浜市金沢区能見台通3-16,京浜急行線能見台駅 徒歩1分,和食,本格焼酎・梅酒多数アリ,"平均予算：2,000円",テラス,テラス,テラス,テラス,テラス,
韓国チキンとサムギョプサル ニャムニャムニャム草津駅前店,https://r.gnavi.co.jp/j3mvd3s70000/,滋賀県草津市西大路町1-27,ＪＲ草津駅 徒歩1分,和食,韓国料理,"平均予算：2,500円",,,,,,
Bar TALI,https://r.gnavi.co.jp/64gfs5p70000/,東京都渋谷区恵比寿西1-3-10,ＪＲ恵比寿駅西口 徒歩3分,和食,夜景個室が人気のお店♪,"平均予算：3,500円",店内テラス,テラス,,テラス,テラス,
やぶ屋 塩釜口店,https://r.gnavi.co.jp/r4c68y790000/,愛知県名古屋市天白区塩釜口2-907,地下鉄鶴舞線塩釜口駅 徒歩1分,和食,とんちゃんが旨い居酒屋,"平均予算：2,700円",テラス,テラス,テラス,テラス,テラス,
PIZZERIA ICARO,https://r.gnavi.co.jp/7muxwbs70000/,奈良県奈良市二条大路南5-2-48,近鉄橿原線尼ヶ辻駅 徒歩10分,和食,本格ナポリピッツァ☆,"平均予算：2,500円",テラス,テラス,テラス,テラス,,ペットと一緒に食事ができるのが当店の特徴です♪ペット連れの方のためにテラス席をご用意！空調もきいたテラス席ですので飼い主様もペットも快適に食事をお楽しみいただけます。人気のお席ですのでお越しの際はご予約をおすすめいたします！
和んワン DINING あらた,https://r.gnavi.co.jp/1jp2ywtt0000/,愛知県名古屋市中村区名駅3-17-20,地下鉄東山線名古屋駅 徒歩4分,和食,和食・寿司／個室／接待,"平均予算：3,500円",店内,店内,,,,"当店の裏にあるNPC駐車場が提携駐車場となります。（ランチ時間のみ対応）ご飲食代5,000円以上で1時間分、ご飲食10,000円以上で2時間分のチケットをお渡し致します。テーブル個室も合わせて大小自由自在なデザイナーズ個室でごゆっくりお寛ぎいただけます。テーブル個室、掘りごたつ半個室、テーブル完全個室などご用意♪"
ニホンバシ イチノイチノイチ,https://r.gnavi.co.jp/g714618/,東京都中央区日本橋1-1-1,地下鉄日本橋駅 徒歩1分,和食,日本橋にあるダイニング,"平均予算：5,000円",テラス,テラス,テラス,テラス,テラス,
フカヒレ×完全個室 廣翔記新館（コウショウキシンカン）,https://r.gnavi.co.jp/b903902/,神奈川県横浜市中区山下町97,みなとみらい線元町・中華街駅3番出口 徒歩3分,和食,フカヒレ専門店,"平均予算：3,000円",店内,店内,店内,店内,店内,
新所沢 イザカヤTOMBO,https://r.gnavi.co.jp/p869100/,埼玉県所沢市緑町2-1-5,西武新宿線新所沢駅西口 徒歩3分,和食,ビストロ風イザカヤ,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
CAFE ZENON×ZENON SAKABA 吉祥寺,https://r.gnavi.co.jp/e869000/,東京都武蔵野市吉祥寺南町2-11-3,ＪＲ中央線吉祥寺駅 徒歩4分,和食,熊本産食材を存分に堪能,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
蒸氣屋（蒸気屋） 大船店,https://r.gnavi.co.jp/dgy1h6x50000/?sc_dsp=rs_12982&sc_type=area&sc_area=jp,神奈川県鎌倉市大船1-20-18,ＪＲ大船駅 徒歩3分,和食,和ビストロ 居酒屋,"平均予算：2,500円",テラス,テラス,テラス,テラス,テラス,
K’s Town CAFE,https://r.gnavi.co.jp/fahj000/?sc_dsp=rs_15449&sc_type=area&sc_area=jp,沖縄県島尻郡八重瀬町伊覇93-2,那覇空港自動車道南風原南I.C. 車10分,和食,レストラン,"平均予算：1,700円",テラス,テラス,,テラス,,
リゾートテラス＆記念日 TOMBOY cafe 渋谷店,https://r.gnavi.co.jp/8y5taurp0000/,東京都渋谷区円山町10-13,ＪＲ渋谷駅 徒歩8分,和食,渋谷◆個室◆貸切◆宴会,"平均予算：2,800円",テラス,テラス,テラス,テラス,テラス,
ビヤステーション ～恵比寿ガーデンプレイス～,https://r.gnavi.co.jp/g005700/,東京都渋谷区恵比寿4-20-4,ＪＲ恵比寿駅東口 徒歩5分,和食,ビヤレストラン,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
Lau－Lau（ラウラウ） 麻布十番店,https://r.gnavi.co.jp/a023700/,東京都港区麻布十番2-14-2,地下鉄麻布十番駅4番出口 徒歩1分,和食,麻布トップのコスパ！！,"平均予算：2,500円",テラス,テラス,,テラス,テラス,
個室と江戸そば 天王洲 常喜房 ～じょうきぼう～,https://r.gnavi.co.jp/b190100/,東京都品川区東品川2-2-4,モノレール天王洲アイル駅 徒歩2分,和食,農園野菜・鴨/和食,"平均予算：5,000円",テラス,テラス,テラス,テラス,テラス,
月島スペインクラブ,https://r.gnavi.co.jp/g722500/,東京都中央区月島1-14-7,地下鉄月島駅7番出口 徒歩2分,和食,スペインレストラン,"平均予算：6,000円",テラス,テラス,テラス,テラス,テラス,
隠れ家貸切 蔵゛っぱ,https://r.gnavi.co.jp/p7s9wpw60000/,千葉県柏市柏3-10-18,ＪＲ常磐線柏駅東口 徒歩6分,和食,パスタ＆ワイン酒場,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
レストラン アズロマーレ テラス オン ザ ベイ（ヴィラズ長崎）,https://r.gnavi.co.jp/8t0eecw40000/,長崎県長崎市福田本町1892,ＪＲ長崎本線長崎駅 車10分,和食,カジュアルレストラン,"平均予算：4,000円",テラス,テラス,テラス,テラス,テラス,
BAR Sync,https://r.gnavi.co.jp/eh4hz2h00000/,東京都渋谷区恵比寿1-8-7,ＪＲ恵比寿駅 徒歩1分,和食,6~20名貸切OK,"平均予算：2,500円",店内,,,,店内,
Patisserie ＆ Restaurant Amour,https://r.gnavi.co.jp/gceg900/,千葉県市川市田尻3-11-15,地下鉄東西線原木中山駅 徒歩5分,和食,スイーツ＆レストラン,"平均予算：2,000円",テラス,テラス,テラス,テラス,テラス,
西船橋 Garage Kitchen あそび,https://r.gnavi.co.jp/ga42902/,千葉県船橋市西船4-29-13,ＪＲ西船橋駅 徒歩1分,和食,西船橋洋風創作居酒屋,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
甘蔵,https://r.gnavi.co.jp/b245200/,東京都福生市福生1047,ＪＲ青梅線福生駅西口 徒歩3分,和食,居酒屋・和食・創作料理,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
牡蠣屋 うらら 聖蹟桜ヶ丘店,https://r.gnavi.co.jp/g321702/,東京都多摩市関戸1-11-3,京王線聖蹟桜ヶ丘駅 徒歩1分,和食,牡蠣専門店 居酒屋,"平均予算：3,500円",,,,,,
立川 ファンキー原田,https://r.gnavi.co.jp/gakc401/,東京都立川市錦町1-5-24,ＪＲ立川駅 徒歩3分,和食,ボリューム満点の定食,"平均予算：4,000円",テラス,テラス,テラス,テラス,テラス,
フォアグラ料理＆貸切ダイニング トゥーレ・ドゥーレ 肥後橋,https://r.gnavi.co.jp/k323800/,大阪府大阪市西区京町堀1-8-28,地下鉄四つ橋線肥後橋駅7番出口 徒歩6分,和食,世界三大珍味が破格の店,"平均予算：5,000円",テラス,,,,,
広東料理＆飲茶食べ放題専門店 龍興飯店 ～ロンシンハンテン～,https://r.gnavi.co.jp/gbvr200/,神奈川県横浜市中区山下町147-1,ＪＲ根岸線石川町駅 徒歩8分,和食,裏通りの人気食べ放題店,"平均予算：1,980円",,,,,,
日本料理 銀座 萬菊,https://r.gnavi.co.jp/8b43meur0000/,東京都中央区銀座6-16-6,地下鉄東銀座駅4番出口 徒歩3分,和食,銀座で正統派な日本料理,"平均予算：5,000円",,,,,,
大衆ビストロ PINE,https://r.gnavi.co.jp/c1wne1e10000/,埼玉県所沢市くすのき台3-16-2,西武新宿線所沢駅 徒歩5分,和食,大衆ビストロ,"平均予算：3,500円",テラス,テラス,テラス,,,
サクラカフェ＆レストラン 池袋,https://r.gnavi.co.jp/d3hmkh570000/,東京都豊島区池袋2-39-10,ＪＲ池袋駅 徒歩5分,和食,大人数貸切歓送迎会可能,"平均予算：3,000円",,,,,,
釜焼鳥本舗 おやひなや 渋谷店,https://r.gnavi.co.jp/gd6r700/,東京都渋谷区道玄坂2-6-6,ＪＲ渋谷駅 徒歩1分,和食,骨付鳥が人気の居酒屋,"平均予算：3,000円",,,,,,
テラスBBQ＆Resort アロハラウンジ新浦安,https://r.gnavi.co.jp/pcpkhbxt0000/,千葉県浦安市高洲1-22-12,ＪＲ新浦安駅 バス13分,和食,ハワイ料理でパーティ,"平均予算：3,500円",テラス,テラス,,テラス,,
ESCRIBA,https://r.gnavi.co.jp/e829600/,東京都港区麻布台2-2-12,都営大江戸線麻布十番駅 徒歩11分,和食,夜景が見えるレストラン,"平均予算：5,000円",テラス,,,,,
Mrs．hamburger,https://r.gnavi.co.jp/d1x3sb2j0000/,埼玉県川越市連雀町8-1,西武新宿線本川越駅 徒歩8分,和食,川越グルメ食べ歩き,"平均予算：1,200円",テラス,テラス,テラス,テラス,テラス,
浅草酒場 岡本 ホッピー通り店,https://r.gnavi.co.jp/gcps200/,東京都台東区浅草1-40-7,つくばエクスプレス浅草駅 徒歩2分,和食,浅草で人気の大衆酒場,"平均予算：2,000円",テラス,テラス,テラス,テラス,,
Cafe ABSINTHE,https://r.gnavi.co.jp/kbdd900/,大阪府大阪市西区北堀江1-2-27,地下鉄御堂筋線心斎橋駅7番出口 徒歩5分,和食,野菜たっぷり地中海料理,"平均予算：2,500円",テラス,テラス,テラス,テラス,テラス,
筋肉食堂 六本木店,https://r.gnavi.co.jp/jmmrc17x0000/,東京都港区六本木7-8-5,都営大江戸線六本木駅 徒歩2分,和食,居酒屋,"平均予算：3,500円",店内,店内,,,,
Graine Marche 綱島店,https://r.gnavi.co.jp/813hx3440000/,神奈川県横浜市港北区綱島西1-11-10,東急東横線綱島駅西口 徒歩1分,和食,宴会貸切お気軽ビストロ,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
キッチン ボンノ 桜木町店 徳島県産食材使用,https://r.gnavi.co.jp/e1x7na7t0000/,神奈川県横浜市中区花咲町2-79,ＪＲ桜木町駅 徒歩1分,和食,ビストロ/オーガニック,"平均予算：3,500円",テラス,テラス,,テラス,,
ビアテラス×南欧バル メルカト 勝田台駅前,https://r.gnavi.co.jp/bxmyrcdf0000/,千葉県八千代市勝田台1-16,京成本線勝田台駅南口 徒歩1分,和食,ピッツエリアワインバル,"平均予算：2,500円",テラス,,,テラス,,
沖縄食堂 ハイサイ なんばこめじるし店,https://r.gnavi.co.jp/8b2su4470000/,大阪府大阪市浪速区難波中2-10-25,南海本線難波駅 徒歩1分,和食,沖縄料理と琉球泡盛の店,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
テラス席のある多国籍料理 サクラカフェ 幡ヶ谷,https://r.gnavi.co.jp/18brerd80000/,東京都渋谷区幡ヶ谷1-32-3,京王新線幡ヶ谷駅南口 徒歩2分,和食,世界各国の料理とビール,"平均予算：1,500円",テラス,テラス,テラス,テラス,テラス,
ベトナム屋 DZO！（ヨー！）,https://r.gnavi.co.jp/m1wpxpmk0000/,大阪府大阪市西区西本町1-11-18,地下鉄四つ橋線本町駅 徒歩3分,和食,気軽に満喫ベトナム料理,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
ガーデンダイニング AGGRE cafe the terrace,https://r.gnavi.co.jp/eetur6hh0000/,大阪府大阪市都島区東野田町2-7-12,地下鉄長堀鶴見緑地線京橋駅 徒歩1分,和食,宴会/パーティー/WD,"平均予算：2,500円",テラス,テラス,テラス,テラス,テラス,
THE SUSHI AMEMURA,https://r.gnavi.co.jp/k2abpf710000/,大阪府大阪市中央区西心斎橋2-17-9,地下鉄御堂筋線心斎橋駅 徒歩3分,和食,おしゃれ貸切パーティ,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
料理倶楽部,https://r.gnavi.co.jp/g156600/?sc_dsp=rs_15495&sc_type=area&sc_area=jp,東京都港区南青山4-16-12,地下鉄表参道駅A4出口 徒歩7分,和食,厳選食材の和洋創作料理,"平均予算：3,500円",店内,,,,,
BUCHI,https://r.gnavi.co.jp/n1p4xgbm0000/,兵庫県淡路市岩屋1871,神戸淡路鳴門自動車道垂水I.C. 車20分,和食,淡路島オーシャンビュー,"平均予算：3,000円",テラス,テラス,テラス,,,
アシヤ食堂 manchos！,https://r.gnavi.co.jp/a8cb1u7n0000/,兵庫県芦屋市松ノ内町1-20-112,ＪＲ神戸線芦屋駅 徒歩3分,和食,厳選食材の地中海バル,"平均予算：3,000円",,,,,,
なんちゃって ビストロ モントコム,https://r.gnavi.co.jp/3pvhs6j20000/,東京都葛飾区亀有5-26-6,ＪＲ常磐線亀有駅 徒歩5分,和食,亀有の隠れ家ビストロ,"平均予算：2,500円",店内,店内,,,,
PIER‐01（ピアゼロワン） 千葉みなと,https://r.gnavi.co.jp/5u3nfvx20000/,千葉県千葉市中央区中央港1-20-1,ＪＲ京葉線千葉みなと駅 徒歩7分,和食,シーフードレストラン,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
TRATTORIA Elmo Cielo,https://r.gnavi.co.jp/fe9fccp90000/,東京都杉並区荻窪5-22-9,ＪＲ荻窪駅 徒歩3分,和食,ペットOK！テラス席有,"平均予算：3,000円",テラス,テラス,テラス,テラス,,
貸切個室ダイニング サクラカフェ 日暮里,https://r.gnavi.co.jp/705hy9c40000/,東京都文京区千駄木3-43-13,地下鉄千代田線千駄木駅2番出口 徒歩4分,和食,世界各国の料理とビール,"平均予算：1,500円",テラス,テラス,テラス,テラス,テラス,
