name,url,address,access,description,average_price,pet_dog_small,pet_dog_medium,pet_dog_large,pet_cat,pet_others,pet_otherInfo
個室×貸切パーティー ATTO 札幌すすきの,https://r.gnavi.co.jp/pu71wuac0000/,北海道札幌市中央区南3条西3,札幌市営地下鉄南北線すすきの駅 徒歩3分,個室で記念日サプライズ,"平均予算：3,500円",店内,店内,店内,店内,店内,ドッグメニューもご用意しております♪お水とビーフジャーキーをサービス！ワンちゃん用おもちゃ、リード、ペットシート、小型のワンちゃん用オムツを無料で貸出、提供いたします♪♪リードかけもご用意♪
牛タンと完全個室 輝 渋谷駅前店,https://r.gnavi.co.jp/8sb7sa9j0000/,東京都渋谷区渋谷1-25-6,東急田園都市線渋谷駅 徒歩1分,牛タン×完全個室,"平均予算：2,800円",,,,,,
完全個室居酒屋 牛タン＆肉寿司食べ放題 奥羽本荘 新橋店,https://r.gnavi.co.jp/3ytgcth70000/,東京都港区新橋3-22-3,都営浅草線新橋駅 徒歩2分,牛タンと肉寿司が旨い店,"平均予算：3,000円",店内,店内,店内,店内,店内,
大衆バル Ｏ‐ＫＩＮＩ（オーキニ）,https://r.gnavi.co.jp/k8yx2emh0000/,千葉県君津市久保1-11-4,ＪＲ内房線君津駅南口 徒歩7分,居酒屋/女子会/ランチ,"平均予算：2,500円",テラス,テラス,テラス,,,ペットと一緒にお食事がしたい！！！O-KINIではテラス席ペット可です！！ペット用食器、ペットシーツ、消臭スプレーご用意してます！ペット用フックはないです。。。これからの季節はワンちゃんとテラス席でどうぞ！
窯焼きバルカフェ らんぷ＋k,https://r.gnavi.co.jp/je5ywfpu0000/,東京都墨田区業平1-22-5 1F,都営浅草線押上（スカイツリー前）駅A2番出口 徒歩2分,窯焼き専門バル,"平均予算：3,000円",店内テラス,店内テラス,店内テラス,,,ワンちゃんの入店可能なお店として運営しております！
cafe masumiya 原宿店,https://r.gnavi.co.jp/a443000/,東京都渋谷区神宮前1-20-13,ＪＲ原宿駅 徒歩3分,原宿サンドイッチカフェ,"平均予算：1,000円",テラス,テラス,テラス,テラス,テラス,これからの時期にぴったりなテラス席もご用意しています。 ペットの同伴も可能なので、ご一緒にお出かけの際は是非テラス席もご利用ください♪
代官山 ラブレー,https://r.gnavi.co.jp/812hpkr20000/,東京都渋谷区恵比寿西1-30-13,東急東横線代官山駅 徒歩3分,老舗30年のフレンチ,"平均予算：7,000円",店内テラス,店内テラス,店内テラス,,,フランスのように無駄吠えしない愛犬となら店内でも和やかなひと時を一緒に過ごせます。四季折々、花々が咲くテラスも静かで素敵な時間が過ごせます。 愛犬ご同伴の際は、犬種頭数をお知らせください。お席をキープさせて頂きます。 尚、原則としてお一組様2頭までとさせていただきますことをご了承ください。
ふわトロお好み焼きともんじゃ焼きの店 葵本店,https://r.gnavi.co.jp/nsade59s0000/,栃木県宇都宮市中央5-1-12,東武宇都宮線東武宇都宮駅 徒歩8分,もんじゃ焼＆鉄板居酒屋,"平均予算：3,000円",店内,店内,店内,店内,店内,ペット同伴可能なので「犬会」等の集まりにもご利用いただけます！お子様連れも大歓迎です♪ファミリーから各シーンのご宴会までお気軽にご利用下さい♪ ※事前に店舗までお問い合わせ下さい。
わらやき屋 大阪北新地,https://r.gnavi.co.jp/jhhbdzk70000/,大阪府大阪市北区曽根崎新地1-3-23,ＪＲ東西線北新地駅 徒歩1分,高知・郷土料理 居酒屋,"平均予算：4,000円",テラス,テラス,,,,解放感あるテラス席で愛犬とご一緒にお食事をお楽しみ下さい。 ワンちゃん用のペットシートや飲み水用の食器もございます♪
酒楽酒酒酒 蔵,https://r.gnavi.co.jp/p5s6tbxc0000/?sc_dsp=rs_12754&sc_type=area&sc_area=jp,神奈川県川崎市中原区小杉町3-258,東急目黒線武蔵小杉駅 徒歩2分,6/1より通常営業再開,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
厨（KURIYA）神保町本店 神戸牛＆シチリアワイン,https://r.gnavi.co.jp/atgs09bt0000/?sc_dsp=rs_14919&sc_type=area&sc_area=jp,東京都千代田区一ツ橋2-6-12,都営新宿線神保町駅 徒歩2分,神保町の神戸牛専門店,"平均予算：5,000円",テラス,,,,,
個室 デザインフードマーケット 名古屋駅前店,https://r.gnavi.co.jp/baj96zsc0000/?sc_dsp=rs_15804&sc_type=area&sc_area=jp,愛知県名古屋市中村区名駅2-36-8,地下鉄東山線名古屋駅 徒歩2分,バル居酒屋宴会完全個室,"平均予算：4,000円",,,,,,
肉まつもと,https://r.gnavi.co.jp/p1bph5g30000/,愛知県名古屋市北区城見通1-1,地下鉄名城・名港線黒川駅 徒歩12分,自家製タレが旨い焼肉店,"平均予算：3,000円",店内,店内,店内,,,全席ペット同伴OK です♪ お二階の席は2席ありますのでもう1組のお客様がワンちゃん同伴の場合、パーテーションで区切ってはありますがご一緒になる場合もありますのでご了承ください。※8名様以上でのご予約の場合は貸切とさせて頂きます。
フレンチバル レ・サンス,https://r.gnavi.co.jp/943jgby20000/,神奈川県横浜市青葉区美しが丘5-2-14,東急田園都市線たまプラーザ駅北口 徒歩5分,フランス料理とワイン,"平均予算：4,000円",店内テラス,テラス,テラス,,,店内は小型犬のみ、テラス席は大型犬もOKです！ご一緒に楽しい時間をお過ごし下さい！店内はご案内できるテーブルに限りがありますので、ご来店前にご連絡下さい！
にはとりや六甲道,https://r.gnavi.co.jp/drtw0ct50000/,兵庫県神戸市灘区稗原町1-1-255,ＪＲ神戸線六甲道駅 徒歩3分,六甲道駅すぐ焼鳥居酒屋,"平均予算：2,800円",テラス,テラス,テラス,,,テラス席は最大１２名様でお楽しみに頂けます♪ もちろんお食事もして頂けます！　風が気持ち良いですよ☆ テラス席はワンちゃん同伴歓迎です！
マグロと信玄鶏 完全個室 伊勢屋 錦糸町店,https://r.gnavi.co.jp/99ut6w9d0000/?sc_dsp=rs_14833&sc_type=area&sc_area=jp,東京都墨田区錦糸2-4-10,地下鉄半蔵門線錦糸町駅 徒歩2分,錦糸町の海鮮料理屋,"平均予算：3,500円",店内,店内,店内,店内,店内,
贅沢食べ飲み放題＆完全個室 鳥楽 大宮東口店,https://r.gnavi.co.jp/sas9hxf00000/,埼玉県さいたま市大宮区宮町1-54,ＪＲ大宮駅 徒歩2分,食べ飲み放題個室居酒屋,"平均予算：3,000円",店内,店内,店内,店内,店内,
横浜中華街 広東料理 福臨閣,https://r.gnavi.co.jp/br35yttu0000/,神奈川県横浜市中区山下町146-5,みなとみらい線元町・中華街駅1番出口 徒歩6分,中国古典様式個室,"平均予算：3,000円",,,,,,
イタリアン＆炭火焼グリル flap,https://r.gnavi.co.jp/ngxxfey40000/,岡山県岡山市北区柳町2-5-23,ＪＲ岡山駅東口 徒歩15分,イタリアン,"平均予算：4,000円",テラス,テラス,テラス,,,静かな遊歩道沿いにあるテラス席。当店のテラス席はワンちゃんとのご同伴OK！おうちで飼い主様を待っているワンちゃんを気にする事なく、ゆったりとお寛ぎいただけます。外の景色を眺めながらワンちゃんと楽しいひとときをお過ごしください♪
十勝牛焼肉＆イタリアン TRATTORIA K,https://r.gnavi.co.jp/g909500/,千葉県柏市中央町3-38,ＪＲ常磐線柏駅南口 徒歩5分,BBQ&イタリアン,"平均予算：3,000円",,,,,,
Bora bora 神戸三宮店,https://r.gnavi.co.jp/k324809/,兵庫県神戸市中央区下山手通2-13-9,ＪＲ神戸線元町駅西口 徒歩5分,個室ダイニング＆カフェ,"平均予算：2,200円",テラス,テラス,テラス,,,
川崎バル CHEF’S BAR（シェフズバル）,https://r.gnavi.co.jp/b999200/,神奈川県川崎市川崎区小川町13-20,ＪＲ川崎駅 徒歩5分,ラチッタ裏スペインバル,"平均予算：4,000円",テラス,テラス,テラス,テラス,テラス,
カジュアルレストラン 木かげ茶屋,https://r.gnavi.co.jp/a397700/,神奈川県横浜市青葉区荏田西1-3-22,東急田園都市線江田駅南口 徒歩5分,カジュアルフレンチ,"平均予算：2,500円",テラス,テラス,テラス,,,
スペインバル 本格地中海料理 アリアッチ 川崎ラチッタデッラ店,https://r.gnavi.co.jp/g254274/,神奈川県川崎市川崎区小川町1-18,ＪＲ川崎駅 徒歩5分,地中海料理,"平均予算：4,000円",テラス,テラス,テラス,テラス,テラス,
Ｐ．Ｃ．Ｍ．Pub Cardinal Marunouchi,https://r.gnavi.co.jp/a634203/,東京都千代田区丸の内2-7-3,ＪＲ東京駅 徒歩2分,NYダイニング＆バー,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
渋谷 貸切 パーティ アイコン【ICON】,https://r.gnavi.co.jp/e604202/,東京都渋谷区道玄坂2-23-12,ＪＲ渋谷駅ハチ公口 徒歩5分,渋谷 貸切 スペース,"平均予算：2,500円",,,,,,
横浜中華街 宴会 香港路‐龍城飯店,https://r.gnavi.co.jp/5j1gz0h20000/,神奈川県横浜市中区山下町147,みなとみらい線元町・中華街駅 徒歩5分,中華街で話題の海老中華,"平均予算：2,500円",,,,,,
個室居酒屋 馬に魚に 赤坂見附店,https://r.gnavi.co.jp/gagv601/,東京都港区赤坂3-8-1,地下鉄丸ノ内線赤坂見附駅 徒歩1分,赤坂見附京町個室居酒屋,"平均予算：4,000円",,,,,,
直出し ワインセラー事業部,https://r.gnavi.co.jp/g519406/,東京都目黒区自由が丘1-24-8,東急東横線自由が丘駅 徒歩3分,無国籍の魚料理とワイン,"平均予算：4,500円",テラス,テラス,,,,
「串焼酒場」酒楽酒酒酒,https://r.gnavi.co.jp/gaes000/,神奈川県川崎市中原区小杉町3-15,ＪＲ南武線武蔵小杉駅 徒歩5分,14名～貸切可能 串焼,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
BarBa‐Style～バーバスタイル～,https://r.gnavi.co.jp/n196203/,愛知県津島市莪原町不毛69,名鉄津島線青塚駅 車5分,カフェダイニングBAR,"平均予算：1,800円",テラス,テラス,テラス,テラス,テラス,
昭和通り炭焼酒場 純風 大和,https://r.gnavi.co.jp/a529903/,神奈川県大和市大和東1-7-24,相鉄線大和駅 徒歩1分,完全個室×炭火焼き鳥,"平均予算：2,800円",テラス,テラス,テラス,テラス,テラス,
SOMETHING Bella Gioia,https://r.gnavi.co.jp/g167206/,埼玉県さいたま市南区沼影1-13-1,ＪＲ武蔵浦和駅 徒歩3分,おいしいイタリアン,"平均予算：3,800円",テラス,テラス,,,,
大衆酒場 ホームラン,https://r.gnavi.co.jp/grz3vary0000/?sc_dsp=rs_15716&sc_type=area&sc_area=jp,岐阜県岐阜市神田町9-18,ＪＲ岐阜駅 徒歩3分,毎日13時開店大衆酒場,"平均予算：2,000円",テラス,テラス,テラス,テラス,テラス,
海鮮個室居酒屋 宮本 綱島店,https://r.gnavi.co.jp/fxbsgk1n0000/?sc_dsp=rs_13014&sc_type=area&sc_area=jp,神奈川県横浜市港北区綱島西1-7-8,東急東横線綱島駅 徒歩1分,蒲田東口個室居酒屋,"平均予算：2,980円",,,,,,
Rezzy（リジー） ～ROOFTOP～ テラス 天神 今泉,https://r.gnavi.co.jp/3etgfke40000/?sc_dsp=rs_14533&sc_type=area&sc_area=jp,福岡県福岡市中央区今泉1-13-31,西鉄天神大牟田線西鉄福岡（天神）駅 徒歩4分,福岡天神ビアガーデン,"平均予算：3,000円",テラス,テラス,,テラス,テラス,
ピグボッテ 北浜店,https://r.gnavi.co.jp/k472207/,大阪府大阪市中央区今橋1-4-1,地下鉄堺筋線北浜駅3番出口 徒歩3分,北浜淀屋橋居酒屋女子会,"平均予算：3,000円",テラス,テラス,テラス,,,
横浜中華街 翡翠楼 本店,https://r.gnavi.co.jp/p658900/,神奈川県横浜市中区山下町139,ＪＲ根岸線石川町駅北口 徒歩5分,健康美食・国産フカヒレ,"平均予算：3,000円",店内,,,店内,店内,
割烹Dining＆Bar 神蔵,https://r.gnavi.co.jp/k813300/,大阪府大阪市北区同心2-10-3,ＪＲ大阪環状線天満駅南口 徒歩5分,豊富な海鮮と良いお酒,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
キンカウーカ グリル＆オイスターバー 横浜ベイクォーター店,https://r.gnavi.co.jp/a134412/?sc_dsp=rs_12158&sc_type=area&sc_area=jp,神奈川県横浜市神奈川区金港町1-10,ＪＲ横浜駅東口 徒歩10分,牡蠣×ワインを愉しむ,"平均予算：4,500円",テラス,テラス,テラス,テラス,,
沖縄 あっぱりしゃん 枚方店,https://r.gnavi.co.jp/c658602/,大阪府枚方市新町1-2-10,京阪本線枚方市駅北口 徒歩2分,老若男女楽しめる沖縄！,"平均予算：3,000円",店内,,,,,
欲ばりイタリアン ボンジョル豚 多治見店,https://r.gnavi.co.jp/n187305/,岐阜県多治見市太平町4-20,ＪＲ多治見駅 徒歩15分,多治見イタリアン個室,"平均予算：2,800円",テラス,テラス,テラス,,,
中目黒グリル,https://r.gnavi.co.jp/e718200/,東京都目黒区上目黒2-37-12,地下鉄日比谷線中目黒駅 徒歩5分,本格肉料理と世界ワイン,"平均予算：4,000円",店内テラス,店内テラス,テラス,,,
エスニックダイニングバー DIPPALACE（ディップパレス）中目黒店,https://r.gnavi.co.jp/gatj206/,東京都目黒区東山1-3-12,東急東横線中目黒駅 徒歩7分,インド・タイ料理専門店,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
Allegro,https://r.gnavi.co.jp/p825602/,東京都中央区日本橋2-16-11,都営浅草線日本橋駅D1番出口 徒歩1分,大人の隠れ家イタリアン,"平均予算：5,000円",テラス,テラス,テラス,テラス,,
Prego,https://r.gnavi.co.jp/p228200/,東京都港区麻布十番1-3-7,地下鉄大江戸線麻布十番駅 徒歩1分,イタリアンレストラン,"平均予算：6,000円",店内テラス,,,,,
SGROSSO TOKYO ‐エスグロッソ東京‐,https://r.gnavi.co.jp/a996300/,東京都渋谷区道玄坂1-11-3,ＪＲ渋谷駅 徒歩1分,肉×魚×野菜イタリアン,"平均予算：3,000円",,,,,,
瀬戸内魚介×スペインビストロ Las Bocas,https://r.gnavi.co.jp/gac4100/,東京都渋谷区渋谷3-2-3,ＪＲ渋谷駅 徒歩8分,スペインビストロ,"平均予算：5,000円",テラス,テラス,テラス,テラス,テラス,
エスニックダイニング DIPPALACE（ディップパレス）四谷四丁目店,https://r.gnavi.co.jp/gatj201/,東京都新宿区四谷4-7,地下鉄丸ノ内線四谷三丁目駅 徒歩5分,インド・タイ料理専門店,"平均予算：3,000円",,,,,,
貸切ソファーダイニング haconiwa【ハコニワ】 恵比寿,https://r.gnavi.co.jp/gakx700/,東京都渋谷区恵比寿1-20-1,ＪＲ恵比寿駅東口 徒歩2分,恵比寿人気貸切スペース,"平均予算：4,000円",店内,店内,店内,店内,店内,
やきとり無双 とり満,https://r.gnavi.co.jp/n055104/,愛知県名古屋市西区名駅2-19-4,地下鉄東山線名古屋駅 徒歩5分,炭火焼き鳥と名古屋名物,"平均予算：2,500円",,,,,,
やきとり 呑炭坊～どんたんぼう～ 武蔵小杉 はなれ,https://r.gnavi.co.jp/a461902/,神奈川県川崎市中原区新丸子東2-908-2,ＪＲ武蔵小杉駅 徒歩2分,信玄鶏の焼鳥・宮崎料理,"平均予算：3,000円",店内,店内,,,,
イタリアンダイニング＆カフェ DECO,https://r.gnavi.co.jp/kan9100/,大阪府大阪市西区阿波座1-5-12,地下鉄四つ橋線本町駅23番出口 徒歩1分,本町駅近で大人数の貸切,"平均予算：2,000円",テラス,テラス,テラス,テラス,テラス,
記念日＆カフェテラス チュラ 大宮,https://r.gnavi.co.jp/b144200/,埼玉県さいたま市大宮区桜木町1-10-18,ＪＲ大宮駅西口 徒歩3分,大宮×小中規模貸切,"平均予算：5,000円",テラス,テラス,テラス,テラス,テラス,
La Porta,https://r.gnavi.co.jp/e056200/,茨城県つくば市研究学園5-8-4,つくばエクスプレス研究学園駅北口 徒歩1分,つくばのイタリアン,"平均予算：4,000円",テラス,テラス,テラス,,,
個室Dining SHINSOUEN‐新荘園‐ 飯田橋店,https://r.gnavi.co.jp/gb1t000/,東京都千代田区飯田橋3-10-9,ＪＲ総武線飯田橋駅 徒歩5分,ビアガーデン＆創作中華,"平均予算：3,000円",店内テラス,,,,,
イタリアンバール ペスカーラ 綱島店,https://r.gnavi.co.jp/e786903/,神奈川県横浜市港北区綱島東1-7-17,東急東横線綱島駅東口 徒歩1分,綱島テラス付イタリアン,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
青いナポリ イン・ザ・パーク 天王寺 てんしば,https://r.gnavi.co.jp/kufj25b20000/?sc_dsp=rs_13501&sc_type=area&sc_area=jp,大阪府大阪市天王寺区茶臼山町5-55,地下鉄谷町線天王寺駅 徒歩3分,イタリアン＆窯焼きピザ,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
完全個室 THEM～ゼム～ 六本木,https://r.gnavi.co.jp/mc4xvuyy0000/?sc_dsp=rs_14852&sc_type=area&sc_area=jp,東京都港区六本木7-13-10,都営大江戸線六本木駅 徒歩2分,駅近合コン完全個室,"平均予算：6,000円",,,,,,
北海道FINE DINING カムイ ベイクォーター店,https://r.gnavi.co.jp/p5cn3pw20000/?sc_dsp=rs_13077&sc_type=area&sc_area=jp,神奈川県横浜市神奈川区金港町1-10,ＪＲ横浜駅きた東口 徒歩6分,北海道の極上食材鉄板焼,"平均予算：4,000円",テラス,テラス,テラス,テラス,テラス,
ワンチャン タイレストラン,https://r.gnavi.co.jp/gcu4900/,東京都中央区日本橋人形町1-19-3,地下鉄日比谷線人形町駅 徒歩1分,人形町のタイ料理,"平均予算：3,000円",テラス,テラス,テラス,,,
コトブキヤ酒店,https://r.gnavi.co.jp/a356700/,神奈川県横浜市中区住吉町3-35-1,ＪＲ京浜東北線関内駅北口 徒歩3分,立ち飲み＆個室居酒屋,"平均予算：2,500円",,,,,,
大衆ビストロ うらきんぎょ 福島,https://r.gnavi.co.jp/p12u0gva0000/,大阪府大阪市福島区福島2-8-15,ＪＲ東西線新福島駅 徒歩1分,隠れ家/テラス席/個室,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
Cafe Bar LIFE,https://r.gnavi.co.jp/t315500/?sc_dsp=rs_15836&sc_type=area&sc_area=jp,福島県福島市置賜町8-41,ＪＲ福島駅東口 徒歩7分,女子会や誕生日で人気♪,"平均予算：3,500円",,,,,,
アジアンダイニングバール SAPANA 赤坂見附プルデンシャルタワー,https://r.gnavi.co.jp/a241105/,東京都千代田区永田町2-13-10,地下鉄銀座線赤坂見附駅11番出口 徒歩1分,赤坂アジアン居酒屋,"平均予算：2,000円",テラス,テラス,テラス,テラス,テラス,
個室 Nick＆Noojoo 新橋本店,https://r.gnavi.co.jp/kmx0pcnm0000/,東京都港区新橋3-13-4,ＪＲ新橋駅 徒歩2分,バル居酒屋個室食べ放題,"平均予算：4,000円",,,,,,
個室 デザインフードマーケット 名古屋駅前店,https://r.gnavi.co.jp/baj96zsc0000/,愛知県名古屋市中村区名駅2-36-8,地下鉄東山線名古屋駅 徒歩2分,バル居酒屋宴会完全個室,"平均予算：4,000円",,,,,,
創作料理×ワイン酒場 大盤振舞 Oobanburumai 浦安,https://r.gnavi.co.jp/kb1urr3v0000/,千葉県浦安市北栄3-25-28,地下鉄東西線浦安駅南口 徒歩6分,個室／ワイン／お肉,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
炭焼きと日本酒 らんぷ,https://r.gnavi.co.jp/95gf5x460000/,大阪府大阪市北区兎我野町11-19,地下鉄谷町線東梅田駅 徒歩5分,炭焼きと日本酒らんぷ,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
Aloha Table 大崎,https://r.gnavi.co.jp/ce8pz4mn0000/,東京都品川区北品川5-5-15,ＪＲ大崎駅東口 徒歩5分,ハワイアンダイニング,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
EMANON THE SOUL SHARE KITCHEN,https://r.gnavi.co.jp/5dnrrnee0000/,東京都渋谷区南平台町7-1,地下鉄銀座線渋谷駅 徒歩9分,貸切イタリアン個室肉,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
船橋 ワイン食堂 862,https://r.gnavi.co.jp/cng1ja560000/,千葉県船橋市本町4-44-11,ＪＲ総武線船橋駅 徒歩2分,手作り料理のワイン食堂,"平均予算：3,000円",テラス,テラス,テラス,,,
神田スペインバル ボケリーア,https://r.gnavi.co.jp/cuy4wkc10000/,東京都千代田区鍛冶町2-12-8,ＪＲ神田駅東口・北口 徒歩1分,スペインバル,"平均予算：3,000円",テラス,テラス,テラス,テラス,テラス,
石窯ピッツァ＆イタリアン モンナカーノ,https://r.gnavi.co.jp/gd05401/,東京都江東区富岡1-14-14,地下鉄東西線門前仲町駅5番出口 徒歩2分,石窯ピザ×イタリアン,"平均予算：3,000円",,,,,,
博多やさい巻き串屋 ねじけもん 自由が丘 別邸,https://r.gnavi.co.jp/g519405/,東京都目黒区自由が丘1-24-8,東急東横線自由が丘駅 徒歩3分,やさい巻き串の発祥の店,"平均予算：4,000円",テラス,テラス,テラス,テラス,テラス,
GRILL ANDOU,https://r.gnavi.co.jp/gc9d300/,東京都江戸川区南小岩8-10-1,ＪＲ総武線小岩駅 徒歩3分,鉄板焼きレストラン,"平均予算：8,000円",テラス,テラス,テラス,テラス,テラス,
青いナポリ イン・ザ・パーク 天王寺 てんしば,https://r.gnavi.co.jp/kufj25b20000/,大阪府大阪市天王寺区茶臼山町5-55,地下鉄谷町線天王寺駅 徒歩3分,イタリアン＆窯焼きピザ,"平均予算：3,500円",テラス,テラス,テラス,テラス,テラス,
ステーキ×オープンテラス バルクビーフ 横浜本店,https://r.gnavi.co.jp/sfjcc1jv0000/,神奈川県横浜市西区岡野1-17-12,ＪＲ横浜駅 徒歩8分,ステーキ＆テラスBBQ,"平均予算：2,500円",テラス,テラス,テラス,テラス,テラス,
ROLLER COAST（ローラーコースト） みなとみらい店,https://r.gnavi.co.jp/5msgvp5k0000/,神奈川県横浜市中区新港1-3-1,みなとみらい線馬車道駅 徒歩9分,アメリカ料理,"平均予算：1,500円",店内,店内,店内,店内,店内,
