name, area_list, description, url, category, tags_list, address, access, business_hours, regular_holidays, tarif, phone_no, if_reservation_needed
ぎふ清流里山公園,'東海'  '岐阜県',混雑する時間の目安,https://www.walkerplus.com/spot/ar0621s03683/    ,遊ぶ,'テーマパーク・アミューズメントパーク'  '公園'  '子供と'  '恋人と・夫婦で'  '友達と',    岐阜県美濃加茂市山之上町2292-1[地図],    【電車】JR美濃太田駅からバスでぎふ清流里山公園下車すぐ 【車】東海環状自動車道美濃加茂ICからすぐ,    3～11月9:00～17:00、12～2月10:00～17:00。里山の湯は通年10:00～22:00,    水曜(12～2月)。3～11月無休。里山の湯は無休,入場無料。 クレジットカードはおんさい館のみ使用可, 0574-23-0066,
メッツァ(メッツァビレッジ・ムーミンバレーパーク),'関東'  '埼玉県',北欧のライフスタイルを体験できるテーマパーク,https://www.walkerplus.com/spot/ar0311s330371/    ,遊ぶ,'テーマパーク・アミューズメントパーク'  '複合施設'  '子供と'  '恋人と・夫婦で'  '友達と',    埼玉県飯能市宮沢327-6 メッツァ[地図],    【電車】西武鉄道池袋線飯能駅からバスでメッツァ(旧 宮沢湖)下車 【車】首都圏中央連絡自動車道狭山日高ICから県道262号線経由で約12分、青梅ICから県道218号線経由で約30分、飯能駅北口からバスで約13分,    メッツァビレッジ10:00～18:00(土日祝19:00)、ムーミンバレーパーク10:00～17:00(土日祝18:00)    ※季節や天候により変更になる場合あり。メッツァビレッジは店舗により一部異なるため、公式サイトをご確認ください。,    不定休,有料。 メッツァビレッジは入場無料。ムーミンバレーパーク入園チケット：大人(中学生以上)2500円、子供(4歳以上小学生以下)1500円 ※3歳以下無料, 0570-03-1066 ナビダイヤル 平日・土日祝10:00～18:00(不定休),
伊豆ぐらんぱる公園,'東海'  '静岡県',年齢層問わず、愛犬も一緒に楽しめる体験型施設,https://www.walkerplus.com/spot/ar0622s210202/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    静岡県伊東市富戸1090[地図],    【電車】伊豆急行伊豆高原駅から東海バスで約20分ぐらんぱる公園下車徒歩すぐ 【車】東名高速道路沼津ICまたは新東名高速道路長泉沼津ICから約75分,定休日    年中無休    アトラクションは不定休、営業日・がそれぞれ異なるため要問合せ,    年中無休    アトラクションは不定休、営業日・営業時間がそれぞれ異なるため要問合せ,有料。 昼の部 大人(中学生以上)1300円、小学生700円、幼児(4歳以上)400円、シニア(70歳以上、昼の部のみ)700円。夜の部(グランイルミ) 大人(中学生以上)1500円、小学生800円、幼児無料、小学生以下は要保護者同伴。昼の部 特別福祉割引料金 中学生以上650円、小学生350円、幼児(4歳以上)200円。夜の部 特別福祉割引料金 中学生以上750円、小学生400円、幼児無料、小学生以下は要保護者同伴 ※障害者手帳要提示。介助者は対象者1名につき1名が特別福祉割引料金にて入園可, 0557-51-1122 (代表),
姫路セントラルパーク【限定営業】,'関西'  '兵庫県',関西ではここだけ、ホワイトライオンに会える,https://www.walkerplus.com/spot/ar0728s14711/    ,遊ぶ,'動物園・サファリパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    兵庫県姫路市豊富町神谷1434[地図],    【電車】JR姫路駅北口から神姫バス姫路セントラルパーク行きに乗り約30分、終点下車すぐ 【車】山陽自動車道山陽姫路東ICから約5分、中国自動車道福崎IC経由播但連絡道路船津ランプから約15分、または阪神高速神戸線姫路バイパス経由播但連絡道路花田ICから約15分,    10:00～17:00、受付は閉園時間1時間前まで    時期により異なる,    水曜日不定休,有料。 入園料 大人3600円、小学生2000円、幼児(3～小学生未満)1200円, 079-264-1611,
ツインリンクもてぎ,'関東'  '栃木県',モータースポーツや森をテーマにしたアトラクションが充実,https://www.walkerplus.com/spot/ar0309s07554/    ,遊ぶ,'遊園地・レジャー施設'  '屋内アミューズメント施設'  '子供と'  '恋人と・夫婦で'  '友達と',    栃木県芳賀郡茂木町桧山120-1[地図],    【電車】JR宇都宮駅からバスに乗り約90分、ツインリンクもてぎ下車すぐ 【車】常磐自動車道水戸ICから約40分、または北関東自動車道真岡ICから約50分,    10:00～16:00    季節、曜日によって異なる。詳細は公式サイトを参照,    12～2月の火・水曜(年末年始は除く)。1月下旬～2月上旬に施設メンテナンスによる休業あり,入場料:大人(中学生以上)1200円、子供(小学生)600円、幼児(3歳～未就学児)300円。モビパークパスポート:小学生以上3200円、3歳～未就学児1800円。特別イベント、レース開催期間中に、イベント、レースを観戦する場合は別途観戦(観覧)料金が必要, 0285-64-0001,
生駒山上遊園地,'関西'  '奈良県'  '生駒山上駅(奈良県)'  '霞ヶ丘駅(奈良県)'  '梅屋敷駅(奈良県)',ケーブルカーに乗って行く入園無料の遊園地,https://www.walkerplus.com/spot/ar0729s14610/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    奈良県生駒市菜畑町2312-1[地図],    【電車】近畿日本鉄道奈良線生駒駅からケーブルカー乗換え、生駒山上駅下車すぐ 【車】阪奈道路登山口ICから信貴生駒スカイライン(有料)に入り約4キロ,    10:00～17:00    季節、社会情勢により変更有り,    木曜(祝日および、春・夏休み期間は営業)    社会情勢により変更有り,入場無料。 のりもの料金 各300～500円。のりもの券が12枚つづりになった「とくとくチケット」3400円, 0743-74-2173,
はままつフルーツパーク時之栖,'東海'  '静岡県'  'フルーツパーク駅(静岡県)',混雑する時間の目安,https://www.walkerplus.com/spot/ar0622s58936/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    静岡県浜松市北区都田町4263-1[地図],    【電車】天竜浜名湖鉄道フルーツパーク駅から徒歩8分 【車】新東名高速道路浜松SAスマートICから約8分、東名高速道路浜松西ICから約30分,    9:00～18:00 時期により異なる,    なし,有料。 入園料:高校生以上700円、小・中学生350円、未就学児無料, 053-428-5211 (代表),
川崎市夢見ヶ崎動物公園,'関東'  '神奈川県'  '新川崎駅(神奈川県)'  '鹿島田駅(神奈川県)',入園無料で楽しめる自然の中の動物園,https://www.walkerplus.com/spot/ar0314s03789/    ,遊ぶ,'動物園・サファリパーク'  '公園'  '子供と'  '恋人と・夫婦で'  '友達と',    神奈川県川崎市幸区南加瀬1-2-1[地図],    【電車】JR新川崎駅から徒歩15分またはJR鹿島田駅から徒歩20分 【車】東名高速道路東名川崎ICから約30分または第三京浜道路都筑ICから約20分,    9:00～16:00,    なし,入場無料。, 044-588-4030,
かみねレジャーランド,'関東'  '茨城県',太平洋を一望できる本格レジャー施設,https://www.walkerplus.com/spot/ar0308s14589/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    茨城県日立市宮田町5-2-22[地図],    【電車】JR日立駅から日立電鉄バスで神峰公園口停留所下車、徒歩15分 【車】常磐自動車道日立中央ICから約5分,    3～10月 9:00～17:00。11～2月 9:30～16:15,    月曜(祝日の場合は翌日)、12月31日、1月1日。4月・5月・夏休み期間など繁忙期は無休,有料。 入園料 大人450円、小人(4歳～中学生)200円、3歳以下無料(入園料のみ)。のりもの券 1枚券100円、回数券1200円、徳用券2600円。クレジットカードは各種対応(VISA、JCB、Mastercard、三菱UFJニコス、アメリカン・エキスプレス、ダイナーズクラブ), 0294-22-4737,
多度グリーンファーム,'東海'  '三重県',大人向けの高級いちごも摘み取れる,https://www.walkerplus.com/spot/ar0624s37896/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    三重県桑名市多度町御衣野4132[地図],    【車】東名阪自動車道桑名ICまたは桑名東ICから約10分,    9:00～17:00,    なし    いちご狩り開催期間外は第2・4水曜定休,有料。 いちご狩り:2020年12月13日(日)～2021年4月11日(日) 大人(中学生以上)2100円、小学生1800円、幼児(2歳以上)1300円。4月12日(月)～5月9日(日) 大人(中学生以上)1800円、小学生1500円、幼児(2歳以上)1000円。5月10日(月)～6月中旬 大人(中学生以上)1400円、小学生1200円、幼児(2歳以上)800円。その他の体験・味覚狩りは公式サイト参照, 0594-48-7447 受付9:00～17:00,要予約 電話にて予約受付
かつうら海中公園・海中展望塔,'関東'  '千葉県',ダイバー気分で海底から魚たちを見られるスポット,https://www.walkerplus.com/spot/ar0312s03775/    ,遊ぶ,'水族館・アクアリウム'  '子供と'  '恋人と・夫婦で'  '友達と',    千葉県勝浦市吉尾174[地図],    【電車】JR鵜原駅から徒歩15分 【車】首都圏中央連絡自動車道市原鶴舞ICから国道297号、国道128号を経由で約50分,    9:00～17:00 最終受付16:30,    なし    荒天時は休館の場合あり,有料。 入場料 大人980円、中人(小中学生)480円、小人(4歳以上) 220円 ※その時の海象状況による入場割引があります, 0470-76-2955,
愛知牧場,'東海'  '愛知県'  '黒笹駅(愛知県)',混雑する時間の目安,https://www.walkerplus.com/spot/ar0623s07604/    ,遊ぶ,'牧場・乗馬施設'  '子供と'  '恋人と・夫婦で'  '友達と',    愛知県日進市米野木町南山977[地図],    【電車】名古屋鉄道黒笹駅から徒歩10分 【車】東名高速道路東名三好ICから約5分,    モーハウス売店他 10:00～17:00、どうぶつ広場 10:00～16:30 (最終入園16:00)    季節により変動あり,    なし。パターゴルフ、引き馬は火曜(祝日の場合は翌日),有料。 入場料300円。季節のお花畑迷路100円(季節により開催場所が異なる、詳細は要問合せ)。パターゴルフ中学生以上平日1000円、土･日･祝1500円、4歳～小学生平日800円、土･日･祝1000円(3歳以下は入場料300円、プレー不可。プレーしない場合もプレー料金要)。ポニー引き馬体験(3歳以上身長120cm以下)600円/半周、900円/1周。サラブレッド引き馬体験(身長120cm以上体重70kg以下)1000円/1周。エサ販売100円～, 0561-72-1300,
横浜・八景島シーパラダイス,'関東'  '神奈川県'  '八景島駅(神奈川県)'  '市大医学部駅(神奈川県)',人工島を造成した大規模な複合型レジャー施設,https://www.walkerplus.com/spot/ar0314s04643/    ,遊ぶ,'水族館・アクアリウム'  '遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    神奈川県横浜市金沢区八景島[地図],    【電車】シーサイドライン八景島駅からすぐ 【車】首都高速道路湾岸線幸浦出口から約1.5km、または横浜横須賀道路並木ICから約2km,    施設、日により異なる。公式サイト参照,    なし,入場無料。 一部有料施設あり。アクアリゾーツパス 大人・高校生3000円、小・中学生1800円、幼児(4歳以上)900円、シニア(65歳以上)2500円。ワンデーパス(当日券) 大人・高校生5500円、小・中学生3900円、幼児(4歳以上)2200円、シニア(65歳以上) 3900円。ワンデーパス(WEB前売) 大人・高校生5200円、小・中学生3700円、幼児(4歳以上)2100円、シニア(65歳以上) 3700円, 045-788-8888 インフォメーション,
ワールド牧場,'関西'  '大阪府',豊かな自然の中でさまざまな動物と触れ合う,https://www.walkerplus.com/spot/ar0727s07603/    ,遊ぶ,'牧場・乗馬施設'  '子供と'  '恋人と・夫婦で'  '友達と',    大阪府南河内郡河南町白木1456-2[地図],    【電車】近畿日本鉄道富田林駅から金剛バスでさくら坂1丁目下車徒歩10分 【車】阪神高速道路三宅ICから国道309号経由約50分,    3月1日～11月4日10:00～17:30、11月5日～2月28日10:00～17:00、8月1日のみ教祖祭PL花火芸術終了まで営業    ※新型コロナウイルス感染拡大予防対策のため、が変更となる場合があります。詳しくは施設へ直接お問い合わせください。,    火曜(祝日の場合は翌日、春休み、夏休み期間は無休)    天候により臨時休業あり。※新型コロナウイルス感染拡大予防対策のため、営業日が変更となる場合があります。詳しくは施設へ直接お問い合わせください。,有料。 大人(中学生以上)1600円、小人(3歳～小学生)800円、ペット500円, 0721-93-6655 ワールド牧場9:00～17:30,
東京ドイツ村,'関東'  '千葉県',混雑する時間の目安,https://www.walkerplus.com/spot/ar0312s03712/    ,遊ぶ,'公園'  'テーマパーク・アミューズメントパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    千葉県袖ケ浦市永吉419[地図],    【電車】JR袖ケ浦駅からバスで東京ドイツ村下車、徒歩1分 【車】館山自動車道姉崎袖ヶ浦ICから約5分。首都圏中央連絡自動車道木更津東ICから約10分,    イルミネーション期間(10月30日～3月28日)は、9:30～20:00(最終入園19:30)。 通常営業期間(3月29日～)は、9:30～17:00(最終入園16:00)。    季節により変動あり,    なし    悪天候時臨時休園あり,有料。 入園料 大人800円、小人(4歳～小学生)400円、3歳以下無料。10名以上から団体料金あり, 0438-60-5511,
下田海中水族館,'東海'  '静岡県',どこよりもイルカに近づける天然水族館,https://www.walkerplus.com/spot/ar0622s16370/    ,遊ぶ,'水族館・アクアリウム'  '子供と'  '恋人と・夫婦で'  '友達と',    静岡県下田市3-22-31[地図],    【電車】伊豆急行伊豆急下田駅から東海バス海中水族館行きで約7分、終点下車徒歩1分 【車】東名高速道路沼津ICから約95分,    5月6日～7月23日 9:30〜16:30、7月24日～8月25日 8:30〜17:30。    詳細は公式サイトをご確認ください,    なし。但し12月に4日間、館内整備のため休館あり    休館日:2021年12月14日(火)から17日(金),有料。 入館料 大人(中学生以上)2100円、小人(4歳～小学生)1050円。海上イルカショー内アメージング・シート1500円(4歳以上1人、ビニールポンチョ付), 0558-22-3567,
こもれび森のイバライド,'関東'  '茨城県',豊かな自然の中で動物と触れ合い、体験を楽しむ,https://www.walkerplus.com/spot/ar0308s07563/    ,遊ぶ,'牧場・乗馬施設'  'レジャー・リゾート施設'  '子供と'  '恋人と・夫婦で'  '友達と',    茨城県稲敷市上君山2060-1[地図],    【電車】JR牛久駅から無料送迎バスで約30分(土・日・祝のみ)。JR佐貫駅から車で約30分 【車】首都圏中央連絡自動車道阿見東ICから約15分または稲敷ICから約10分,    10:00～17:00    12月〜2月10:00〜16:30。季節や天候などによって変更の場合あり,    火曜    12月〜2月火・水曜日。詳細は公式サイト参照,有料。 入園料 大人(中学生以上)1000円、子供(4歳～小学生)600円、3歳以下無料。プレイスポットの遊具などは有料。各種体験教室は有料(要予約) ※「ワンちゃん入園券」あり(入園券1頭500円/回数券6回2500円、1回めの利用から1年間有効), 029-892-3911,
ポルトヨーロッパ,'関西'  '和歌山県',ヨーロッパの街並みが楽しめる入園無料のテーマパーク,https://www.walkerplus.com/spot/ar0730s03747/    ,遊ぶ,'遊園地・レジャー施設'  'テーマパーク・アミューズメントパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    和歌山県和歌山市毛見1527[地図],    【電車】JR海南駅からバスで約15分、JR和歌山駅またはJR・南海電鉄和歌山市駅からバスで約30分 【車】阪和自動車道海南ICから約10分,    11:00〜16:00    土日祝・特別期間など変更の場合あり,    火曜定休(繁忙時期を除く)。年2回メンテナンス休業あり。,入場無料。 アトラクションやイベントなどは別途料金要。スタンダードパス 大人(中学生以上)3800円、小人(3歳～小学生)3200円。イルミネーション等の特別催事は入場料が発生する場合あり, 0570-064-358 和歌山マリーナシティインフォメーション,
いちごの里,'関東'  '栃木県',パティシエが作るいちごスイーツも人気,https://www.walkerplus.com/spot/ar0309s36783/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    栃木県小山市大字大川島408[地図],    【電車】JR小山駅から路線バスで約25分 【車】東北自動車道佐野藤岡ICから約20分,    売店 9:00～18:00    レストラン(ランチ) 11:00～15:00,    なし,スカイベリー 狩り:4月4日(日)まで 大人(小学生以上)2100円、幼児(3歳以上)1260円。4月5日(月)～：大人(小学生以上)1600円、幼児(3歳以上)960円。その他の味覚狩り等については、公式サイト等をご確認ください。, 0285-33-1070,要予約 ※フルーツ狩りは完全予約制
アフリカンサファリ,'九州'  '大分県',たくさんの動物に大接近,https://www.walkerplus.com/spot/ar1044s03810/    ,遊ぶ,'動物園・サファリパーク'  '子供と'  '恋人と・夫婦で'  '友達と',    大分県宇佐市安心院町南畑2-1755-1[地図],    【電車】JR別府駅からバスで約50分 【車】大分自動車道別府湾スマートICから約6分、または大分自動車道由布岳スマートICから約10分,    公式サイトをご確認ください,    なし ※悪天候時は急遽休園の場合あり,有料。 入園料 大人(高校生以上)2600円、小人(４歳~中学生)1500円。年間フリーパスポート 大人(高校生以上)5300円、小人(4歳~中学生)3200円。購入後1年間の入園料金とガイドDVD料金が無料。キャットサロン・ドッグサロンの入館券、ジャングルバス乗車券などのクーポン付き。ガイドDVD 乗用車600円、バス1200円。ジャングルバス 大人(高校生以上)1100円、小人(4歳～中学生)900円, 0978-48-2331 九州自然動物公園アフリカンサファリ,
ダグリ岬遊園地,'九州'  '鹿児島県'  '大隅夏井駅(鹿児島県)',混雑する時間の目安,https://www.walkerplus.com/spot/ar1046s03751/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    鹿児島県志布志市志布志町夏井211-2[地図],    【電車】JR大隅夏井駅から徒歩6分 【車】宮崎自動車道都城ICから約60分または東九州自動車道曽於弥五郎ICから約35分,    10:00～17:00。プール(夏休み期間中)10:00～17:00。ただし月・金曜はプール清掃日のためプールのみ～13:00,    火曜。祝日の場合は翌日。臨時休園あり。GW、春・夏・冬休みなど繁忙期は開園,有料。 入場券 3歳以上300円、志布志市内在住者は入場料金半額(要証明証)、15名から団体割引あり。プール利用料(要入場券) 3歳以上300円(プールの営業は夏休み期間のみ、15名から団体割引あり), 099-473-1061 ダグリ岬遊園地ゲート,
佐久平ハイウェイオアシス「パラダ」,'甲信越'  '長野県',佐久平PA直結、大自然のなかで楽しめるレジャーが満載,https://www.walkerplus.com/spot/ar0420s313562/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    長野県佐久市下平尾2681[地図],    【車】上信越自動車道佐久平パーキングエリア直結,    8:00～18:00    各施設によりは異なる。雨天時の場合は休止になるアトラクションあり,    4月と12月に全館施設メンテナンスの実施日あり    気象条件により変更になる場合あり,入場無料。 施設により入場料が必要な施設あり。アトラクション利用は別途有料, 0267-67-8100 (代表),
手取フィッシュランド,'北陸'  '石川県',石川県最大級の規模を誇るファミリー遊園地,https://www.walkerplus.com/spot/ar0517s14596/    ,遊ぶ,'遊園地・レジャー施設'  '子供と'  '恋人と・夫婦で'  '友達と',    石川県能美市粟生町ツ58[地図],    【電車】JR金沢駅から北鉄バス(寺井中央行きで65分)で手取川橋停留所下車、徒歩1分 【車】北陸自動車道美川ICから約10分,    10:00～17:00。乗り物券の販売は閉園時間の10分前まで,    水曜(当園基準で春・夏・冬休み期間中は営業)、12～2月は平日休み。    JOY PARK、ペットショップは年中無休,入場無料。 のりもの券 1枚150円、10枚1200円、33枚3300円、15人以上の団体10枚900円(団体割引利用の場合は事前予約必要 )、2歳から有料 ※遊園地はクレジットカード対応不可、ペットショップ・ウルトラマンスタジアムは利用可, 0761-57-2211,
白龍湖観光農園,'中国'  '広島県',フルーツ狩りにBBQに丸一日遊べる,https://www.walkerplus.com/spot/ar0834s234114/    ,遊ぶ,'観光農園'  '子供と'  '恋人と・夫婦で'  '友達と',    広島県三原市大和町大草398[地図],    【車】山陽自動車道河内ICから約10分、三原久井ICから約20分,    8:00～17:00 ※バーベキュー・パークゴルフ受付8:00～16:00、フルーツ狩り受付9:00～16:00    熟したフルーツがなくなり次第終了,    年末年始,入場無料。 パークゴルフ 大人(中学生以上) 1000円 小人(4歳以上)500円。フルーツ狩りは時期により料金が異なるので公式サイト参照, 0847-34-0234,
